family	size	seed	label	status	L	k	E	max_coeff_bits	coeff_bound_bits	dig	legacy_dig96_exact
grid	4	29	grid_k4_N16_seed29	ok	6	8	24	12	20	21	1
grid	4	30	grid_k4_N16_seed30	ok	6	8	24	12	20	21	1
grid	4	31	grid_k4_N16_seed31	ok	6	8	24	12	20	21	1
grid	4	32	grid_k4_N16_seed32	ok	6	8	24	12	20	21	1
grid	4	33	grid_k4_N16_seed33	ok	6	8	24	12	20	21	1
grid	4	34	grid_k4_N16_seed34	ok	6	8	24	12	20	21	1
grid	4	35	grid_k4_N16_seed35	ok	6	8	24	12	20	21	1
grid	4	36	grid_k4_N16_seed36	ok	6	8	24	12	20	21	1
grid	4	37	grid_k4_N16_seed37	ok	6	8	24	12	20	21	1
grid	4	38	grid_k4_N16_seed38	ok	6	8	24	12	20	21	1
grid	4	39	grid_k4_N16_seed39	ok	6	8	24	12	20	21	1
grid	4	40	grid_k4_N16_seed40	ok	6	8	24	12	20	21	1
grid	5	1	grid_k5_N25_seed1	ok	8	10	40	20	30	31	1
grid	5	2	grid_k5_N25_seed2	ok	8	10	40	20	30	31	1
grid	5	3	grid_k5_N25_seed3	ok	8	10	40	20	30	31	1
grid	5	4	grid_k5_N25_seed4	ok	8	10	40	20	30	31	1
grid	5	5	grid_k5_N25_seed5	ok	8	10	40	20	30	31	1
grid	5	6	grid_k5_N25_seed6	ok	8	10	40	20	30	31	1
grid	5	7	grid_k5_N25_seed7	ok	8	10	40	20	30	31	1
grid	5	8	grid_k5_N25_seed8	ok	8	10	40	20	30	31	1
grid	5	9	grid_k5_N25_seed9	ok	8	10	40	20	30	31	1
grid	5	10	grid_k5_N25_seed10	ok	8	10	40	20	30	31	1
grid	5	11	grid_k5_N25_seed11	ok	8	10	40	20	30	31	1
grid	5	12	grid_k5_N25_seed12	ok	8	10	40	20	30	31	1
grid	5	13	grid_k5_N25_seed13	ok	8	10	40	20	30	31	1
grid	5	14	grid_k5_N25_seed14	ok	8	10	40	20	30	31	1
grid	5	15	grid_k5_N25_seed15	ok	8	10	40	20	30	31	1
grid	5	16	grid_k5_N25_seed16	ok	8	10	40	20	30	31	1
grid	5	17	grid_k5_N25_seed17	ok	8	10	40	20	30	31	1
grid	5	18	grid_k5_N25_seed18	ok	8	10	40	20	30	31	1
grid	5	19	grid_k5_N25_seed19	ok	8	10	40	20	30	31	1
